Kanalnummer	Impulse	Fit(Impulse)	Fit(Impulse)
Kanal/#	Impulse/#	Impulse/#	Impulse/#

893	101	18	4
894	131	18	4
895	148	18	4
896	84	18	4
897	109	18	4
898	115	18	4
899	89	18	4
900	116	18	4
901	82	18	4
902	130	18	4
903	94	18	4
904	102	18	4
905	106	18	4
906	73	18	4
907	95	18	4
908	114	18	4
909	107	18	4
910	116	18	4
911	84	18	4
912	98	18	4
913	126	18	4
914	99	18	4
915	129	18	4
916	98	18	4
917	103	18	4
918	106	18	4
919	76	18	4
920	93	18	4
921	113	18	4
922	109	18	4
923	115	18	4
924	105	18	4
925	94	18	4
926	105	18	4
927	143	18	4
928	91	18	4
929	108	18	4
930	102	18	4
931	86	18	4
932	118	18	4
933	99	18	4
934	113	18	4
935	81	18	4
936	75	18	4
937	114	18	4
938	85	18	4
939	94	18	4
940	110	18	4
941	94	18	4
942	94	18	4
943	88	18	4
944	84	18	4
945	95	18	4
946	105	18	4
947	108	18	4
948	105	18	4
949	83	18	4
950	119	18	4
951	97	18	4
952	82	18	4
953	117	18	4
954	80	18	4
955	117	18	4
956	85	18	4
957	105	18	4
958	91	18	4
959	100	18	4
960	85	18	4
961	86	18	4
962	90	18	4
963	100	18	4
964	116	18	4
965	86	18	4
966	87	18	4
967	84	18	4
968	93	18	4
969	106	18	4
970	92	18	4
971	88	18	4
972	115	18	4
973	94	18	4
974	72	18	4
975	64	18	4
976	54	18	4
977	90	18	4
978	84	18	4
979	83	18	4
980	96	18	4
981	71	18	4
982	99	18	4
983	67	18	4
984	95	18	4
985	84	18	4
986	81	18	4
987	102	18	4
988	89	18	4
989	66	18	4
990	73	18	4
991	86	18	4
992	43	18	4
993	68	18	4
994	65	18	4
995	55	18	4
996	91	18	4
997	61	18	4
998	92	18	4
999	72	18	4
1000	62	18	4
1001	101	18	4
1002	82	18	4
1003	63	18	4
1004	87	18	4
1005	71	18	4
1006	70	18	4
1007	72	18	4
1008	58	18	4
1009	45	18	4
1010	73	18	4
1011	77	18	4
1012	62	18	4
1013	57	18	4
1014	77	18	4
1015	61	18	4
1016	49	18	4
1017	78	18	4
1018	57	18	4
1019	78	18	4
1020	58	18	4
1021	77	18	4
1022	72	18	4
1023	70	18	4
1024	37	18	4
1025	63	18	4
1026	57	18	4
1027	66	18	4
1028	52	18	4
1029	54	18	4
1030	86	18	4
1031	54	18	4
1032	59	18	4
1033	49	18	4
1034	60	18	4
1035	73	18	4
1036	61	18	4
1037	61	18	4
1038	56	18	4
1039	71	18	4
1040	44	18	4
1041	46	18	4
1042	46	18	4
1043	51	18	4
1044	48	18	4
1045	49	18	4
1046	57	18	4
1047	43	18	4
1048	52	18	4
1049	57	18	4
1050	40	18	4
1051	62	18	4
1052	48	18	4
1053	55	18	4
1054	47	18	4
1055	49	18	4
1056	36	18	4
1057	55	18	4
1058	63	18	4
1059	54	18	4
1060	50	18	4
1061	38	18	4
1062	54	18	4
1063	36	18	4
1064	32	18	4
1065	40	18	4
1066	45	18	4
1067	41	18	4
1068	50	18	4
1069	45	18	4
1070	43	18	4
1071	40	18	4
1072	44	18	4
1073	41	18	4
1074	33	18	4
1075	44	18	4
1076	46	18	4
1077	37	18	4
1078	54	18	4
1079	42	18	4
1080	25	18	4
1081	37	18	4
1082	31	18	4
1083	60	18	4
1084	39	18	4
1085	34	18	4
1086	51	18	4
1087	45	18	4
1088	34	18	4
1089	36	18	4
1090	34	18	4
1091	34	18	4
1092	33	18	4
1093	34	18	4
1094	39	18	4
1095	41	18	4
1096	41	18	4
1097	34	18	4
1098	38	18	4
1099	26	18	4
1100	33	18	4
1101	31	18	4
1102	33	18	4
1103	32	18	4
1104	26	18	4
1105	35	18	4
1106	34	18	4
1107	38	18	4
1108	34	18	4
1109	30	18	4
1110	29	18	4
1111	36	18	4
1112	30	18	4
1113	41	18	4
1114	29	18	4
1115	47	18	4
1116	40	18	4
1117	40	18	4
1118	33	18	4
1119	44	18	4
1120	36	18	4
1121	35	18	4
1122	33	18	4
1123	45	18	4
1124	32	18	4
1125	34	18	4
1126	46	18	4
1127	33	18	4
1128	29	18	4
1129	37	18	4
1130	31	18	4
1131	36	18	4
1132	38	18	4
1133	40	18	4
1134	25	18	4
1135	38	18	4
1136	26	18	4
1137	38	18	4
1138	34	18	4
1139	32	18	4
1140	31	18	4
1141	24	18	4
1142	36	18	4
1143	30	18	4
1144	22	18	4
1145	31	18	4
1146	30	18	4
1147	40	18	4
1148	29	18	4
1149	20	18	4
1150	37	18	4
1151	39	18	4
1152	24	18	4
1153	28	18	4
1154	28	18	4
1155	29	18	4
1156	30	18	4
1157	28	18	4
1158	42	18	4
1159	15	18	4
1160	31	18	4
1161	43	18	4
1162	34	18	4
1163	30	18	4
1164	41	18	4
1165	28	18	4
1166	41	18	4
1167	24	18	4
1168	21	18	4
1169	31	18	4
1170	26	18	4
1171	28	18	4
1172	32	18	4
1173	27	18	4
1174	44	18	4
1175	23	18	4
1176	25	18	4
1177	42	18	4
1178	36	18	4
1179	23	18	4
1180	25	18	4
1181	31	18	4
1182	29	18	4
1183	31	18	4
1184	19	18	4
1185	21	18	4
1186	28	18	4
1187	38	18	4
1188	37	18	4
1189	22	18	4
1190	33	18	4
1191	30	18	4
1192	26	18	4
1193	39	18	4
1194	16	18	4
1195	28	18	4
1196	31	18	4
1197	38	18	4
1198	24	18	4
1199	20	18	4
1200	16	18	4
1201	24	18	4
1202	27	18	4
1203	24	18	4
1204	25	18	4
1205	22	18	4
1206	32	18	4
1207	24	18	4
1208	23	18	4
1209	33	18	4
1210	31	18	4
1211	23	18	4
1212	26	18	4
1213	27	18	4
1214	26	18	4
1215	26	18	4
1216	24	18	4
1217	31	18	4
1218	35	18	4
1219	30	18	4
1220	34	18	4
1221	14	18	4
1222	29	18	4
1223	27	18	4
1224	28	18	4
1225	21	18	4
1226	31	18	4
1227	28	18	4
1228	28	18	4
1229	22	18	4
1230	24	18	4
1231	33	18	4
1232	24	18	4
1233	17	18	4
1234	29	18	4
1235	18	18	4
1236	25	18	4
1237	27	18	4
1238	25	18	4
1239	19	18	4
1240	31	18	4
1241	20	18	4
1242	26	18	4
1243	19	18	4
1244	22	18	4
1245	23	18	4
1246	27	18	4
1247	35	18	4
1248	19	18	4
1249	25	18	4
1250	24	18	4
1251	26	18	4
1252	26	18	4
1253	23	18	4
1254	23	18	4
1255	26	18	4
1256	10	18	4
1257	25	18	4
1258	22	18	4
1259	24	18	4
1260	24	18	4
1261	22	18	4
1262	20	18	4
1263	23	18	4
1264	20	18	4
1265	21	18	4
1266	28	18	4
1267	24	18	4
1268	19	18	4
1269	19	18	4
1270	30	18	4
1271	22	18	4
1272	19	18	4
1273	28	18	4
1274	25	18	4
1275	35	18	4
1276	26	18	4
1277	26	18	4
1278	22	18	4
1279	29	18	4
1280	17	18	4
1281	24	18	4
1282	32	18	4
1283	30	18	4
1284	23	18	4
1285	21	18	4
1286	28	18	4
1287	26	18	4
1288	33	18	4
1289	36	18	4
1290	23	18	4
1291	25	18	4
1292	28	18	4
1293	24	18	4
1294	13	18	4
1295	24	18	4
1296	20	18	4
1297	19	18	4
1298	27	18	4
1299	20	18	4
1300	28	18	4
1301	28	18	4
1302	21	18	4
1303	20	18	4
1304	16	18	4
1305	25	18	4
1306	18	18	4
1307	34	18	4
1308	20	18	4
1309	27	18	4
1310	38	18	4
1311	23	18	4
1312	26	18	4
1313	22	18	4
1314	23	18	4
1315	28	18	4
1316	31	19	4
1317	29	19	4
1318	29	19	4
1319	12	19	4
1320	22	19	4
1321	20	19	4
1322	21	19	4
1323	20	19	4
1324	25	19	4
1325	21	19	4
1326	24	19	4
1327	35	19	4
1328	27	19	4
1329	21	19	4
1330	17	19	4
1331	20	19	4
1332	22	19	4
1333	20	19	4
1334	28	19	4
1335	20	19	4
1336	20	19	4
1337	28	19	4
1338	16	19	4
1339	27	19	4
1340	29	20	4
1341	19	20	4
1342	21	20	4
1343	33	20	4
1344	15	20	4
1345	26	20	4
1346	27	20	4
1347	24	20	4
1348	33	20	4
1349	17	20	4
1350	30	21	4
1351	29	21	4
1352	22	21	4
1353	30	21	4
1354	27	21	4
1355	26	21	4
1356	29	21	4
1357	30	22	4
1358	26	22	4
1359	30	22	4
1360	26	22	4
1361	27	22	4
1362	29	22	4
1363	40	23	4
1364	31	23	4
1365	26	23	4
1366	29	23	4
1367	21	24	4
1368	33	24	4
1369	31	24	4
1370	29	24	4
1371	35	25	4
1372	33	25	4
1373	36	25	4
1374	28	26	4
1375	39	26	4
1376	20	27	4
1377	29	27	4
1378	37	27	4
1379	37	28	4
1380	38	28	4
1381	25	29	4
1382	44	29	4
1383	34	30	4
1384	31	30	4
1385	49	31	4
1386	30	31	4
1387	36	32	4
1388	51	32	4
1389	45	33	4
1390	34	33	4
1391	36	34	4
1392	25	35	4
1393	35	35	4
1394	32	36	4
1395	42	37	4
1396	37	38	4
1397	37	38	4
1398	47	39	4
1399	51	40	4
1400	38	41	4
1401	52	42	4
1402	38	43	4
1403	55	44	4
1404	35	45	4
1405	51	46	4
1406	61	47	4
1407	67	48	4
1408	56	49	4
1409	48	50	4
1410	60	51	4
1411	66	53	4
1412	71	54	4
1413	56	55	4
1414	78	56	4
1415	45	58	4
1416	55	59	4
1417	90	61	4
1418	58	62	4
1419	75	64	4
1420	89	65	4
1421	79	67	4
1422	80	68	4
1423	76	70	4
1424	89	72	4
1425	81	73	4
1426	90	75	4
1427	90	77	4
1428	96	79	4
1429	65	81	4
1430	129	83	4
1431	79	85	4
1432	92	87	4
1433	113	89	4
1434	77	91	4
1435	107	93	4
1436	112	95	4
1437	104	98	4
1438	119	100	4
1439	138	102	4
1440	102	105	4
1441	98	107	4
1442	109	110	4
1443	105	112	4
1444	117	115	4
1445	94	117	4
1446	123	120	4
1447	106	123	4
1448	116	125	4
1449	166	128	4
1450	133	131	4
1451	150	134	4
1452	165	137	4
1453	133	140	4
1454	144	143	4
1455	113	146	4
1456	144	149	4
1457	150	152	4
1458	152	155	4
1459	169	158	4
1460	183	161	4
1461	151	164	4
1462	197	168	4
1463	142	171	4
1464	136	174	4
1465	204	178	4
1466	135	181	4
1467	180	184	4
1468	184	188	4
1469	198	191	4
1470	204	195	4
1471	224	198	4
1472	178	202	4
1473	205	205	4
1474	217	209	4
1475	194	212	4
1476	208	216	4
1477	198	219	4
1478	240	223	4
1479	163	227	4
1480	217	230	4
1481	275	234	4
1482	191	237	4
1483	242	241	4
1484	281	244	4
1485	243	248	4
1486	270	252	4
1487	230	255	4
1488	216	259	4
1489	300	262	4
1490	244	266	4
1491	297	269	4
1492	284	273	4
1493	227	276	4
1494	314	280	4
1495	228	283	4
1496	294	286	4
1497	319	290	4
1498	281	293	4
1499	316	296	4
1500	326	300	4
1501	260	303	4
1502	303	306	4
1503	355	309	4
1504	261	312	4
1505	292	315	4
1506	312	318	4
1507	299	321	4
1508	350	324	4
1509	289	327	4
1510	418	330	4
1511	304	332	4
